X,Y,oid_,name,field1,nama,alamat,jumlah_ped,jenis_bang,kondisi_la,ketersedia,ketersed_1,ketersed_2,drainase,kabupaten_,provinsi,nama_desa,objectid,icon_url
124.793096999828,1.20160089976252,0,Pasar Tompaso,1064,Pasar Tompaso,,0,,,,,,,MINAHASA,SULAWESI UTARA,,781,./0.png
116.085715499672,-8.53539440013066,0,Sandik,1066,Sandik,Batu Layar,0,,,,,,,LOMBOK BARAT,NUSA TENGGARA BARAT,,782,./0.png
116.171391699568,-8.41148559997964,0,Pasarr.Tanjung,1067,Pasarr.Tanjung,,0,,,,,,,LOMBOK UTARA,NUSA TENGGARA BARAT,,783,./0.png
123.123904899593,-10.7386421003519,0,Kab.Rote Ndao,1068,Kab.Rote Ndao,,0,,,,,,,ROTE NDAO,NUSA TENGGARA TIMUR,,784,./0.png
109.001220899726,-6.86447859990665,0,Pasar Klampok (Kab. Brebes),1070,Pasar Klampok (Kab. Brebes),,0,,,,,,,BREBES,JAWA TENGAH,,785,./0.png
115.994098599572,-2.53316740025451,0,Kec. Sungai Durian,1071,Kec. Sungai Durian,Sungai durian,0,,,,,,,KOTABARU,KALIMANTAN SELATAN,,786,./0.png
112.374590000329,-6.98450199966675,0,Pasar Sawo,1073,Pasar Sawo,Dukun,0,,,,,,,GRESIK,JAWA TIMUR,,787,./0.png
104.044967099653,-5.36334350020155,0,"Bangun Negara, Biha",1075,"Bangun Negara, Biha",,0,,,,,,,PESISIR BARAT,LAMPUNG,,788,./0.png
100.591996299591,-0.457794100316676,0,Pasar Baru Atas,1076,Pasar Baru Atas,Jl.Koto Batu Sangkar Koto Batu Sangkar Lima Kaum,0,,,,,,,TANAH DATAR,SUMATERA BARAT,,789,./0.png
120.368063300282,-5.48367370008037,0,Pasar Pertamina,1077,Pasar Pertamina,"Desa Tamalanrea, Kec.Bontotiro",0,,,,,,,BULUKUMBA,SULAWESI SELATAN,,790,./0.png
111.659970699889,-8.08979899982319,0,"Pasar Subuh Karangan, Trenggalek (Jawa Timur)",1078,"Pasar Subuh Karangan, Trenggalek (Jawa Timur)",,0,,,,,,,TRENGGALEK,JAWA TIMUR,,791,./0.png
109.82187930039,-7.67249109998346,0,Pasar Megulung,1079,Pasar Megulung,"Megulung lor, Pituruh",7,,,,,,,PURWOREJO,JAWA TENGAH,,792,./0.png
115.259995799967,-8.68523500039413,0,Pasar Waringin Sariangabaya,1080,Pasar Waringin Sariangabaya,Jl. Pasar Waringin,0,,,,,,,KOTA DENPASAR,BALI,,793,./0.png
116.812086500293,-1.23191749989189,0,Pasar Kampong Baru,1081,Pasar Kampong Baru,Kelurahan baru tengah,235,,,,,,,KOTA BALIKPAPAN,KALIMANTAN TIMUR,,794,./0.png
112.225804800352,-7.68460150015829,0,Ngoro,1082,Ngoro,"Jl raya ngoro, ds. Ngoro",0,,,,,,,JOMBANG,JAWA TIMUR,,795,./0.png
101.362963300017,-2.72605309967003,0,Brangan Mulya,1084,Brangan Mulya,,0,,,,,,,MUKO MUKO,BENGKULU,,796,./0.png
119.931966300206,-4.00363999968545,0,Pasar Ikan Belawa,1087,Pasar Ikan Belawa,"Jl.Belawa, Kec.Belawa",0,,,,,,,WAJO,SULAWESI SELATAN,,797,./0.png
120.086011300282,-5.5349721996065,0,Pasar Layoa Dan Pasar Banyorang,1088,Pasar Layoa Dan Pasar Banyorang,,0,,,,,,,BANTAENG,SULAWESI SELATAN,,798,./0.png
109.247470100366,-7.11879220029903,0,Moga,1090,Moga,Moga,41,,,,,,,PEMALANG,JAWA TENGAH,,799,./0.png
110.696066199996,-7.7604762004155,0,Masaran,1091,Masaran,Cawas,0,,,,,,,KLATEN,JAWA TENGAH,,800,./0.png
101.256478899583,-1.82245279965616,0,Pasar Bedeng 8,1092,Pasar Bedeng 8,Bedeng 8 Kec.Kayu Aro,14,,,,,,,KERINCI,JAMBI,,801,./0.png
105.928864099699,-6.38439179974097,0,Menes,1093,Menes,,0,,,,,,,PANDEGLANG,BANTEN,,802,./0.png
104.348468100424,-4.31581779985078,0,Pasar Ikan Martapura,1094,Pasar Ikan Martapura,,0,,,,,,,OGAN KOMERING ULU TIMUR,SUMATERA SELATAN,,803,./0.png
102.546979199931,-0.37369750023862,0,TPasar / Plaza Rengat,1095,TPasar / Plaza Rengat,"Kampung Besar Kota, Rengat",0,,,,,,,INDRAGIRI HULU,RIAU,,804,./0.png
110.673017000435,-6.59916029960732,0,Pasar Rahayu,1097,Pasar Rahayu,"Potroyudan, Jepara",0,,,,,,,JEPARA,JAWA TENGAH,,805,./0.png
101.494508499968,-2.99580750021516,0,Pasar Pulai Payung,1100,Pasar Pulai Payung,,0,,,,,,,MUKO MUKO,BENGKULU,,806,./0.png
99.823002300217,0.096858999843789,0,Pasar Simpang Iv,1101,Pasar Simpang Iv,Jl. Lingkuang Aua Lingkuang Aua Pasaman,0,,,,,,,PASAMAN BARAT,SUMATERA BARAT,,807,./0.png
115.248914899604,-2.35462890020278,0,Pasar Haur Gading,1102,Pasar Haur Gading,kec.haur gading,0,,,,,,,HULU SUNGAI UTARA,KALIMANTAN SELATAN,,808,./0.png
104.889247300024,-5.40911429968435,0,Babakan,1103,Babakan,Babakan,0,,,,,,,TANGGAMUS,LAMPUNG,,809,./0.png
120.270253899699,-5.07882959980537,0,Pasar Bojo-Sulsel,1104,Pasar Bojo-Sulsel,,0,,,,,,,BONE,SULAWESI SELATAN,,810,./0.png
122.913268699992,-10.7580504998299,0,Pasar Oelua,1105,Pasar Oelua,,0,,,,,,,ROTE NDAO,NUSA TENGGARA TIMUR,,811,./0.png
113.800374799858,-6.96551170040385,0,Pasar Banasare,1106,Pasar Banasare,Rubaru,0,,,,,,,SUMENEP,JAWA TIMUR,,812,./0.png
118.693864399923,-8.54438509979173,0,Pasar Ikan Woha,1107,Pasar Ikan Woha,,0,,,,,,,BIMA,NUSA TENGGARA BARAT,,813,./0.png
104.277326700268,-3.40889029964677,0,Pasar Prabumulih Timur,1108,Pasar Prabumulih Timur,Jl.Padat raya kel.Gunung Ibul,20,,,,,,,KOTA PRABUMULIH,SUMATERA SELATAN,,814,./0.png
109.728701000052,-6.91265000019655,0,Apotek Benmari Kab Batang,1109,Apotek Benmari Kab Batang,,0,,,,,,,BATANG,JAWA TENGAH,,815,./0.png
102.305904600318,-3.90301420034427,0,Tpi Pulau Baai Bengkulu,1110,Tpi Pulau Baai Bengkulu,,0,,,,,,,KOTA BENGKULU,BENGKULU,,816,./0.png
120.15752740027,-5.25307830042243,0,Pasar Bikeru,1111,Pasar Bikeru,"Desa Bikeru, Kec.Sinaji Selatan",0,,,,,,,SINJAI,SULAWESI SELATAN,,817,./0.png
105.270190399768,-5.38400210031585,0,Tempel Labuhan Dalam,1112,Tempel Labuhan Dalam,Labuan Dalam,0,,,,,,,KOTA BANDAR LAMPUNG,LAMPUNG,,818,./0.png
106.83848729975,-6.86649160010643,0,Darmareja,1113,Darmareja,Darmareja,0,,,,,,,SUKABUMI,JAWA BARAT,,819,./0.png
114.561750000064,-3.33135589965423,0,Pasar Thr Telaga Biru Banjarmasin Barat,1114,Pasar Thr Telaga Biru Banjarmasin Barat,,0,,,,,,,KOTA BANJARMASIN,KALIMANTAN SELATAN,,820,./0.png
103.237512899602,-4.02578850033819,0,Pasar Nendagung,1116,Pasar Nendagung,Terminal Nendagung,12,,,,,,,KOTA PAGAR ALAM,SUMATERA SELATAN,,821,./0.png
112.163886300314,-7.06747839970757,0,Widang,1117,Widang,Widang,0,,,,,,,TUBAN,JAWA TIMUR,,822,./0.png
109.625245500081,-7.70582989992914,0,Pasar Dorowati,1118,Pasar Dorowati,Ds. Dorowati Kec. Klirong,5,,,,,,,KEBUMEN,JAWA TENGAH,,823,./0.png
108.448452899982,-6.45389929991194,0,Pasar Karangampel,1120,Pasar Karangampel,Jl. Raya Karangampel,0,,,,,,,INDRAMAYU,JAWA BARAT,,824,./0.png
97.3535904999027,1.50461899966791,0,Pasar Sawo Kec. Sawo,1121,Pasar Sawo Kec. Sawo,,0,,,,,,,NIAS UTARA,SUMATERA UTARA,,825,./0.png
97.389477199714,1.49383570025816,0,Sawo,1122,Sawo,,0,,,,,,,NIAS UTARA,SUMATERA UTARA,,826,./0.png
124.846327100117,1.32693849961288,0,Pasar Beriman Kota Tomohon,1124,Pasar Beriman Kota Tomohon,,0,,,,,,,KOTA TOMOHON,SULAWESI UTARA,,827,./0.png
123.841068999935,-9.48544849964776,0,Pasar Naikliu,1126,Pasar Naikliu,"Kec.Amfoang Utara, kab.Kupang",16,,,,,,,KUPANG,NUSA TENGGARA TIMUR,,828,./0.png
96.0608763996271,5.25505680013202,0,Pasar Lueng Putu,1127,Pasar Lueng Putu,,0,,,,,,,PIDIE JAYA,ACEH,,829,./0.png
124.740929300148,-9.82480400000378,0,Boking,1128,Boking,,0,,,,,,,KAB TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR,,830,./0.png
110.224052999647,-7.46298819994468,0,Pasar Kebonpolo,1129,Pasar Kebonpolo,Jl. Urip Sumoharjo,5,Permanen,Permanen,Tidak Ada,Cukup,Cukup,"Ada, Lancar",KOTA MAGELANG,JAWA TENGAH,WATES,831,./0.png
95.8287907001317,5.52923390012523,0,Ujong Pie,1131,Ujong Pie,,0,,,,,,,PIDIE,ACEH,,832,./0.png
121.947311000204,-2.86830529964902,0,Paasar Bahodopi,1133,Paasar Bahodopi,,0,,,,,,,MOROWALI,SULAWESI TENGAH,,833,./0.png
97.3365815995622,4.00500320033825,0,Pasar Terpadu Cinta Maju,1134,Pasar Terpadu Cinta Maju,,0,,,,,,,GAYO LUES,ACEH,,834,./0.png
99.5617334996023,0.851080200191916,0,Pasar Baru Panyabungan Mandailig Natal,1135,Pasar Baru Panyabungan Mandailig Natal,,0,,,,,,,MANDAILING NATAL,SUMATERA UTARA,,835,./0.png
120.456226899953,-6.12315580009931,0,Tpi Bonehalang Kepulauan Selayar Sulawesi Selatan,1137,Tpi Bonehalang Kepulauan Selayar Sulawesi Selatan,,0,,,,,,,KEPULAUAN SELAYAR,SULAWESI SELATAN,,836,./0.png
111.585409999973,-7.55617000044435,0,Pasar Balerejo,1138,Pasar Balerejo,Balerejo,0,,,,,,,MADIUN,JAWA TIMUR,,837,./0.png
112.688396899898,-7.61560679971325,0,Kepulungan,1140,Kepulungan,Gempol,0,,,,,,,PASURUAN,JAWA TIMUR,,838,./0.png
103.51600559968,-4.48259119982322,0,Pasar Minggu Desa Ulu Danau,1141,Pasar Minggu Desa Ulu Danau,,0,,,,,,,OGAN KOMERING ULU SELATAN,SUMATERA SELATAN,,839,./0.png
106.891594799961,-6.87490470029087,0,Kadudampit,1142,Kadudampit,Citamiang,9,,,,,,,SUKABUMI,JAWA BARAT,,840,./0.png
110.91973930023,-6.80748339973832,0,Pasar Jekulo,1143,Pasar Jekulo,Ds. Jekulo Kec. Jekulo,0,,,,,,,KUDUS,JAWA TENGAH,,841,./0.png
105.255751799607,-5.40957409966416,0,Pasar Smep,1144,Pasar Smep,Jl. Batusangkar,35,Tidak Permanen,Semi Permanen,Kurang,Kurang,Kurang,"Ada, Tidak Lancar",KOTA BANDAR LAMPUNG,LAMPUNG,KELAPA TIGA,842,./0.png
101.112583899928,-2.58772000037692,0,Tpi Muara Pantai Indah Mukomuko,1146,Tpi Muara Pantai Indah Mukomuko,,0,,,,,,,MUKO MUKO,BENGKULU,,843,./0.png
109.50771849961,-7.61207159982365,0,Wonokriyo Gombong,1147,Wonokriyo Gombong,,0,,,,,,,KEBUMEN,JAWA TENGAH,,844,./0.png
116.102329999631,-8.60279400004225,0,Pasar Pagesangan,1148,Pasar Pagesangan,,0,,,,,,,LOMBOK BARAT,NUSA TENGGARA BARAT,,845,./0.png
122.876391399644,-10.8463032996568,0,Pasar Sedeoen Rote Barat,1150,Pasar Sedeoen Rote Barat,,0,,,,,,,ROTE NDAO,NUSA TENGGARA TIMUR,,846,./0.png
103.300982800317,-4.71240780007912,0,Kaur Tengah,1151,Kaur Tengah,,0,,,,,,,KAUR,BENGKULU,,847,./0.png
112.199946699682,-7.60067820033788,0,Gudo,1152,Gudo,Jl raya Gudo,0,,,,,,,JOMBANG,JAWA TIMUR,,848,./0.png
105.268361999807,-5.45098300016451,0,Pasar Gudang Lelang Ujung Bom,1153,Pasar Gudang Lelang Ujung Bom,Jl. Ikan Bawal Kelurahan Kangkung Gudang Lelang,65,Permanen,Permanen,Cukup,Cukup,Cukup,"Ada, Tidak Lancar",KOTA BANDAR LAMPUNG,LAMPUNG,KANGKUNG,849,./0.png
97.6398204002923,1.25505780007825,0,Simpang Fodo,1154,Simpang Fodo,,0,,,,,,,KOTA GUNUNGSITOLI,SUMATERA UTARA,,850,./0.png
110.470152099841,-7.76576989956044,0,Kalasan,1157,Kalasan,"Glondong,Tirtomartani,Kalasan",3,,,,,,,SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,,851,./0.png
119.877655999926,-0.882439899680833,0,Jl Tombolututu 79,1158,Jl Tombolututu 79,,0,,,,,,,KOTA PALU,SULAWESI TENGAH,,852,./0.png
111.697730499564,-8.29067469987672,0,Pasar Karanggandu,1159,Pasar Karanggandu,,0,,,,,,,TRENGGALEK,JAWA TIMUR,,853,./0.png
105.882343600178,-6.83867099976601,0,Tpi Cikeusik,1160,Tpi Cikeusik,,0,,,,,,,PANDEGLANG,BANTEN,,854,./0.png
116.076740500375,-8.57215549997557,0,Kebon Reok,1161,Kebon Reok,6. Ampenan,26,,,,,,,KOTA MATARAM,NUSA TENGGARA BARAT,,855,./0.png
122.733457500065,-4.81807299996814,0,Pasar Keliling,1444,Pasar Keliling,,0,,,,,,,BOLAANG MONGONDOW UTARA,SULAWESI UTARA,,856,./0.png
110.684682300049,-7.83075499964269,0,Ngawen,1164,Ngawen,"Kampung, Ngawen",13,,,,,,,GUNUNG KIDUL,DAERAH ISTIMEWA YOGYAKARTA,,857,./0.png
108.093900000086,-7.53912820020548,0,Pasar Desa Jayamukti,1166,Pasar Desa Jayamukti,Jayamukti,0,,,,,,,TASIKMALAYA,JAWA BARAT,,858,./0.png
